03-02 00:57:15.837 17121 17305 I TestRunner: started: miniPlayer_pause_button_triggers_callback(com.podcast.app.ui.MiniPlayerBarTest)
03-02 00:57:15.849  1444  1808 D PQ      : [PQDSConfig] getAshmemContext(SHP_ENABLE) = 1
03-02 00:57:15.849  1444  1808 D PQ      : PQDSConfig::getEnableStatus check2  time 0 ms
03-02 00:57:15.849  1444  1808 D PQ      : [PQDSConfig] PQDSConfig::getUREnableStatus = 1
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] setDpPqConfig m_svp = 0, enDRE = 0
03-02 00:57:15.849  1444  1808 D MDP     : setPQParam globalPQSupport = [0] globalPQSwitch = [0] globalPQStrength = [0] globalPQType = [0]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] setPQparam userId[0x0], scenario[1], enDRE[0]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSession] setPQDREParam userId[0x0] scenario[1] enDRE[0]
03-02 00:57:15.849  1444  1808 D MDP     : [PQSessionManager] findVideoID[f6840820] found on index a
03-02 00:57:15.849  1444  1808 D PQ_HDR  : DpAsyncBlit: job:(2070933 129) in:(720, 1280)[720 368] C8s P1.1.1.0.1, alpha 0, sec0 flush:0 Buffer 1035466: plane=3 bufVA={0x81,0x81,0x81} bufMVA={0x0,0x0,0x0} bufSize={0xe1000,0x39800,0x39800} proxy={0xb4000074f4c6a780,0x0,0x0}fence=-1
03-02 00:57:15.849  1444  1808 D PQ_HDR  : DpAsyncBlit: out 0:(1008, 1920)[2176 0] C5 P1.1.1.0.1 R:0 F:0 S:1 A:0 HDR:0 COLOR:0 CCORR:1 sec0 flush:0 Buffer 1035466: plane=1 bufVA={0x7c,0x0,0x0} bufMVA={0x0,0x0,0x0} bufSize={0x4db200,0x0,0x0} proxy={0xb40000747320b780,0x0,0x0}fence=157
03-02 00:57:15.849  1444  1808 D PQ_HDR  : DpAsyncBlit: crop 0:(48.0, 0.0, 672.0, 1280.0) compose:(0, 0, 1008, 1920)
03-02 00:57:15.850 17121 17305 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
